NO2,O3,PM10,PM25,date,site_code
25.108333333333334,51.512499999999996,10.100000000000001,,2020-02-26,BX1
30.34166666666667,45.04166666666668,7.565217391304347,,2020-02-27,BX1
23.2375,46.31666666666666,10.450000000000001,,2020-02-28,BX1
6.595833333333332,71.34583333333333,19.71666666666667,,2020-02-29,BX1
7.216666666666666,73.5875,10.41666666666667,,2020-03-01,BX1
24.73333333333333,51.816666666666656,8.304166666666665,,2020-03-02,BX1
34.50416666666667,42.12499999999999,13.820833333333333,,2020-03-03,BX1
34.35,35.82083333333333,15.333333333333336,,2020-03-04,BX1
20.125000000000004,46.189473684210526,12.404347826086957,,2020-03-05,BX1
37.5375,40.375,18.679166666666664,,2020-03-06,BX1
22.77083333333334,48.69999999999999,20.629166666666666,,2020-03-07,BX1
8.120833333333335,72.26666666666667,12.245833333333332,,2020-03-08,BX1
12.087499999999999,62.12083333333333,11.987499999999999,,2020-03-09,BX1
8.6625,52.19166666666666,4.775,,2020-03-10,BX1
10.370833333333334,71.84583333333333,7.516666666666667,,2020-03-11,BX1
8.483333333333333,69.88333333333333,14.054166666666665,,2020-03-12,BX1
20.2,56.88333333333333,16.425000000000004,,2020-03-13,BX1
10.766666666666666,64.38333333333331,10.345833333333333,,2020-03-14,BX1
13.462499999999999,66.54166666666667,9.204166666666664,,2020-03-15,BX1
28.30416666666667,45.01666666666666,14.745833333333337,,2020-03-16,BX1
14.387500000000001,60.77083333333334,14.725,,2020-03-17,BX1
12.049999999999999,60.458333333333336,13.141666666666666,,2020-03-18,BX1
16.383333333333336,49.31666666666666,15.266666666666667,,2020-03-19,BX1
9.929166666666667,64.8625,13.945833333333328,,2020-03-20,BX1
11.029166666666667,62.00416666666666,17.254166666666666,,2020-03-21,BX1
15.633333333333333,53.44166666666667,19.354166666666664,,2020-03-22,BX1
38.504999999999995,36.09166666666666,22.745833333333334,,2020-03-23,BX1
37.263157894736835,37.87916666666667,23.658333333333335,,2020-03-24,BX1
,34.016666666666666,30.183333333333334,,2020-03-25,BX1
24.835294117647063,55.45416666666667,35.41666666666666,,2020-03-26,BX1
17.029166666666665,73.78333333333333,38.075,,2020-03-27,BX1
7.845833333333334,81.5875,24.25833333333334,,2020-03-28,BX1
4.329166666666667,73.43333333333334,16.066666666666666,,2020-03-29,BX1
12.149999999999999,59.35416666666666,13.883333333333335,,2020-03-30,BX1
13.020833333333336,64.69166666666666,16.166666666666668,,2020-03-31,BX1
26.1375,47.616666666666674,16.750000000000004,,2020-04-01,BX1
16.616666666666664,58.145833333333336,11.500000000000002,,2020-04-02,BX1
20.23333333333333,56.09583333333333,17.3,,2020-04-03,BX1
18.587500000000002,48.94583333333333,16.233333333333334,,2020-04-04,BX1
11.054166666666667,73.475,16.354166666666668,,2020-04-05,BX1
14.6625,66.2375,13.841666666666669,,2020-04-06,BX1
